,Start Time (s),End Time (s),Note
143,32.62,32.63,G#4
144,32.64,32.64,F4
145,32.65,32.69,D#4
146,32.70,33.08,F4
147,33.09,33.09,D5
148,33.10,33.10,F4
149,33.15,33.20,D#5
150,33.21,33.23,F#5
151,33.25,33.27,F4
152,33.63,33.63,F4
153,34.07,34.47,D#5
154,34.50,34.98,G#5
155,34.99,35.86,G5
156,35.92,35.97,G4
157,35.98,36.13,G5
158,36.14,36.15,G4
159,36.16,36.34,G5
160,36.35,36.42,A5
161,36.43,36.44,F4
162,36.45,36.90,B5
163,36.91,37.70,A#5
164,37.75,37.75,A#5
165,37.99,38.10,A#4
166,38.16,38.23,A#4
167,38.33,38.70,D#4
168,38.71,38.74,F#4
169,38.75,38.87,D7
170,38.88,38.90,G3
171,38.91,38.92,D7
172,38.93,39.00,D#4
173,39.01,39.01,C4
174,39.02,39.02,E4
175,39.03,39.16,A#3
176,39.17,39.20,B3
177,39.21,39.25,D#7
178,39.26,39.59,B3
179,39.65,39.71,A#4
180,40.10,40.11,C#5
181,40.12,40.56,D#5
182,40.59,40.59,G5
183,40.60,40.60,A#5
184,40.61,41.03,G5
185,41.04,41.47,F#5
186,41.53,42.53,B5
187,42.54,42.61,E5
188,42.63,42.74,F#5
189,42.75,42.95,G5
190,42.96,44.11,F#5
191,44.12,44.28,D5
192,44.29,44.39,C#5
193,44.40,44.82,D5
194,44.83,45.21,C#5
195,45.22,45.40,B4
196,45.41,45.52,A#4
197,45.53,45.54,B4
198,45.55,45.57,C#5
199,45.58,45.74,B4
200,45.75,45.88,G4
201,45.89,45.97,F#4
202,45.98,45.99,A#4
203,46.00,46.00,F#4
204,46.01,46.02,A#4
205,46.03,46.03,A#3
206,46.04,46.05,B3
207,46.06,46.06,A4
208,46.07,46.07,A#4
209,46.11,46.13,A4
210,46.14,46.22,A#3
211,46.23,46.25,D6
212,46.26,46.31,D4
213,46.32,46.42,D#4
214,46.47,46.54,A#3
215,46.55,46.55,D#4
216,46.56,46.56,D6
217,46.57,46.63,D#4
218,46.64,46.66,D4
219,46.67,46.67,E4
220,46.68,46.69,G4
221,46.70,46.70,C4
222,46.71,46.77,B4
223,46.78,46.79,D4
224,46.80,46.82,F#4
225,46.83,46.92,B4
226,46.93,46.95,A4
227,46.96,46.99,G4
228,47.00,47.00,G5
229,47.02,47.02,G4
230,47.18,47.19,D4
231,47.20,47.27,F#4
232,47.31,47.31,E4
233,47.32,47.32,A#3
234,47.36,47.36,B4
235,47.38,47.38,B4
236,47.39,47.41,A4
237,47.42,47.61,B4
238,47.62,47.98,A4
239,47.99,48.04,D7
240,48.11,48.11,A#4
241,48.12,48.13,G#4
242,48.16,48.16,C#4
243,48.33,48.35,B4
244,48.38,48.39,B4
245,48.47,48.47,A4
246,48.67,48.68,B4
247,48.70,48.72,D#7
248,48.78,48.80,G#5
249,48.81,48.81,A5
250,48.82,48.82,G#5
251,48.83,49.14,A5
252,49.15,49.22,G#5
253,49.23,49.27,A5
254,49.28,49.61,G#5
255,49.62,49.64,F#5
256,49.65,49.66,G#5
257,49.67,49.77,F#5
258,49.78,49.81,F5
259,49.82,50.05,F#5
260,50.06,50.10,F5
261,50.11,50.15,F#5
262,50.16,50.24,A4
263,50.25,50.27,F#5
264,50.28,50.29,A4
265,50.30,50.31,F#5
266,50.32,50.57,E5
267,50.60,51.14,D#5
268,51.15,51.20,C#5
269,51.21,51.40,C5
270,51.41,51.57,C#5
271,51.58,51.69,E4
272,51.70,52.18,G#4
273,52.19,53.23,G#5
274,53.24,53.28,C#5
275,53.29,53.29,D#4
276,53.30,53.33,G#5
277,53.34,53.34,D#7
278,53.35,53.35,A#6
279,53.36,53.36,D#7
280,53.37,53.49,D#5
281,53.50,53.51,C#5
282,53.52,53.53,D#5
283,53.54,53.67,E5
284,53.73,54.68,F#5
285,54.69,54.70,B3
286,54.71,54.73,B4
287,54.74,54.80,B3
288,54.81,54.82,F#5
289,54.83,54.83,B3
290,54.84,54.85,B4
291,54.86,54.88,C#5
292,54.89,54.89,B3
293,54.90,54.90,C#5
294,54.91,54.97,B3
295,54.98,55.12,D#5
296,55.13,55.13,E5
297,55.15,55.60,E5
298,55.65,55.65,A#4
299,55.66,55.66,E5
300,55.67,55.74,A#4
301,55.75,55.75,B4
302,55.76,55.76,A#4
303,55.77,55.77,B4
304,55.78,55.80,A#4
305,55.81,55.83,B4
306,55.84,55.87,E4
307,55.88,56.09,C#5
308,56.10,56.99,D#5
309,57.00,57.45,C#5
310,57.46,58.25,C5
311,58.28,58.29,C5
312,58.30,58.41,D#5
313,58.42,58.46,G#3
314,58.49,58.52,G#3
315,58.74,58.82,E4
316,58.87,59.06,D#4
317,59.07,59.81,C#4
318,59.82,59.83,C4
319,59.84,60.13,C#4
320,60.18,60.27,D#4
321,60.28,60.29,D#5
322,60.30,60.42,C#4
323,60.43,60.46,D#4
324,60.47,61.58,B3
325,61.59,61.82,C#4
326,61.83,62.35,A#3
327,62.36,63.62,D#4
328,63.63,63.69,G#4
329,63.77,63.78,G#4
330,63.79,63.80,G#3
331,63.81,63.85,G#4
332,63.86,63.86,G#3
333,63.87,64.20,G#4
334,64.21,64.23,G#3
335,64.24,64.33,G#4
336,64.34,64.36,F#4
337,64.40,64.50,G#4
338,64.51,64.54,C4
339,64.55,64.55,G#3
340,64.56,64.58,D#4
341,64.59,64.59,G#3
342,64.60,64.60,C4
343,64.61,64.65,G#3
344,64.66,64.73,G#4
345,64.74,64.74,G#3
346,64.75,64.76,G#4
347,64.77,64.77,G#3
348,64.78,64.78,G#4
349,64.81,65.57,G#4
350,66.01,66.02,D#4
351,67.08,67.17,G#4
352,67.18,67.39,G#3
353,67.42,67.74,G#3
354,67.75,67.77,E4
355,67.78,67.83,C4
356,67.84,68.29,G#3
357,68.30,68.46,G#4
358,68.47,68.76,G#3
359,68.77,68.77,F#4
360,68.78,68.79,G#3
361,68.80,68.89,G#4
362,71.25,71.43,G#3
363,71.44,71.44,D5
364,71.45,71.47,G#3
365,71.48,71.53,G#4
366,71.54,73.32,G#3
367,73.33,73.49,C#4
368,73.50,73.57,E4
369,73.58,73.63,E5
370,73.64,73.89,C#4
371,73.90,74.09,G#3
372,74.10,74.27,A3
373,74.28,74.52,C#4
374,74.53,74.53,D5
375,74.54,74.72,F#4
376,74.73,75.35,E4
377,75.36,75.36,F#5
378,75.51,75.53,E4
379,75.63,75.65,E4
380,76.14,76.14,E5
381,76.31,76.31,D#5
382,76.40,76.45,F#5
383,76.47,76.47,F#5
384,76.50,76.53,E5
385,76.69,76.73,E4
386,76.74,76.89,G#3
387,76.90,76.90,E4
388,76.91,77.09,C#4
389,77.10,77.10,G#3
390,77.11,77.22,E4
391,77.23,77.35,C#4
392,77.36,77.37,G4
393,77.38,77.54,G#3
394,77.55,77.57,C#5
395,77.58,77.58,F#7
396,77.59,77.78,A3
397,77.79,77.95,C#4
398,77.96,78.28,F#4
399,78.29,79.24,E4
400,79.45,79.50,C5
401,79.69,79.76,C4
402,80.35,80.44,G#3
403,80.45,80.65,C#4
404,80.66,80.85,E4
405,80.86,80.98,C#4
406,80.99,80.99,E7
407,81.00,81.37,G#3
408,81.38,81.47,C#4
409,81.48,81.52,G4
410,81.53,81.61,C#4
411,81.62,81.64,F#4
412,81.65,81.65,F4
413,81.66,81.67,F#4
414,81.68,81.68,D4
415,81.69,81.73,F#4
416,81.74,81.82,D4
417,81.83,82.24,B3
418,82.25,82.25,G#4
419,82.26,82.37,E4
420,82.38,82.54,G#4
421,82.55,82.57,E4
422,82.58,82.60,G#4
423,82.61,82.66,E4
424,82.67,82.87,G#3
425,82.88,82.89,D4
426,82.90,82.93,D7
427,82.94,83.01,A3
428,83.02,83.03,C#4
429,83.04,83.07,B3
430,83.08,83.09,A3
431,83.10,83.16,C#4
432,83.17,83.17,D4
433,83.18,83.18,C#4
434,83.19,83.42,F#4
435,83.43,83.43,D#4
436,83.44,83.44,D#7
437,83.45,83.45,A#4
438,83.46,83.48,D#4
439,83.49,83.51,F#4
440,83.52,83.52,D#4
441,83.53,83.70,B3
442,83.71,83.75,D#7
443,83.76,83.90,G#4
444,83.91,84.10,B4
445,84.11,84.14,G#4
446,84.15,84.32,B4
447,84.35,84.41,D#5
448,84.43,84.47,D4
449,84.51,84.52,G#3
450,84.53,84.73,B3
451,84.74,84.74,D7
452,84.75,84.78,G#4
453,84.79,84.79,C7
454,84.80,84.87,G#4
455,84.88,84.90,B3
456,84.91,84.91,D7
457,84.92,84.94,D4
458,84.95,84.97,F#4
459,85.00,85.08,G#4
460,85.09,85.09,D#4
461,85.10,85.14,D4
462,85.19,85.23,E4
463,85.26,85.35,G#3
464,85.36,85.38,E4
465,85.48,85.82,D#4
466,85.96,86.05,D#4
467,86.26,86.40,D#4
468,86.42,86.42,D#4
469,86.55,86.55,D#4
470,86.57,86.69,D#4
471,86.71,86.77,D#4
472,86.85,86.87,G3
473,87.03,87.03,D#4
474,87.61,87.64,G#4
475,87.83,87.86,D#4
476,87.87,87.88,C4
477,87.94,88.21,G#4
478,88.55,88.70,G#4
479,88.73,88.73,G#4
480,88.80,88.91,G#4
481,88.92,88.92,C4
482,89.04,89.10,C4
483,89.11,89.20,G#4
484,89.28,89.32,G#4
485,89.49,89.52,G#4
486,90.07,91.25,C#6
487,91.28,91.34,F#5
488,91.41,91.54,G#5
489,91.55,91.64,A5
490,91.65,91.74,G#5
491,91.75,91.76,A5
492,91.77,92.94,G#5
493,92.95,93.09,F#5
494,93.10,93.29,E5
495,93.30,93.46,D#5
496,93.47,94.00,E5
497,94.01,94.42,D#5
498,94.43,94.63,C#5
499,94.64,94.65,C5
500,94.66,94.68,C#5
501,94.69,94.75,C5
502,94.76,94.78,C#5
503,94.79,94.81,C5
504,94.82,94.97,D#5
505,94.98,95.00,C#5
506,95.01,95.02,D#5
507,95.03,95.33,A4
508,95.34,95.92,G#4
509,95.93,96.08,C#5
510,96.09,96.22,E5
511,96.23,96.35,D#5
512,96.36,96.49,C5
513,96.50,96.67,C#5
514,96.68,96.79,F#5
515,96.80,96.80,G#5
516,96.81,96.81,A5
517,96.83,97.00,A5
518,97.01,97.02,C#6
519,97.03,97.08,A5
520,97.09,98.15,C#6
521,98.19,98.19,C#6
522,98.20,98.40,F#5
523,98.41,98.50,G#5
524,98.51,98.74,A#5
525,98.75,99.86,G#5
526,99.87,99.96,F#5
527,99.97,99.98,G#5
528,99.99,100.07,F5
529,100.08,100.13,F#5
530,100.14,100.16,F5
531,100.17,100.17,G#4
532,100.18,100.37,D#5
533,100.38,101.35,C#6
534,101.36,101.37,C#5
535,101.38,101.47,C#6
536,101.51,101.53,C#6
537,101.54,101.60,F#5
538,101.66,101.70,F#5
539,101.71,101.89,G#5
540,101.90,101.97,A#5
541,101.98,101.99,G#5
542,102.01,102.06,G#5
543,102.07,102.10,G5
544,102.11,102.59,G#5
545,102.60,102.60,G5
546,102.61,103.13,G#5
547,103.14,103.27,F#5
548,103.28,103.48,F5
549,103.50,103.72,D#5
550,103.73,104.72,C#5
551,104.73,104.79,F5
552,104.80,104.88,F#5
553,104.89,104.97,F5
554,104.98,104.98,E5
555,104.99,105.06,F5
556,105.07,105.20,D5
557,105.21,105.27,D#5
558,105.28,105.37,D5
559,105.38,106.45,C#5
560,106.46,106.63,F#4
561,106.64,106.70,F4
562,106.71,106.76,F#4
563,106.77,106.99,D#4
564,107.00,110.63,C#4
565,110.64,110.66,A#5
566,110.69,110.79,C#4
567,110.88,110.97,C#4
